Smiles,Corrected
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)O2)c(=O)[nH]c1=O,2290426.019
CC[C@H](C)[C@H](NC(=O)C(=O)OC[C@H]1O[C@@H](Cn2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-])C(=O)O,2517623.364
CC[C@H](C)[C@H](NC(=O)C(=O)OC[C@H]1O[C@@H](Cn2cc(C)c(=O)[nH]c2=O)C[C@@H]1N=[N+]=[N-])C(=O)O,265576.0344
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,305129.2222
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](CC(C)C)C(=O)O)O2)c(=O)[nH]c1=O,407000.407
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)O2)c(=O)[nH]c1=O,460383.9602
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)O2)c(=O)[nH]c1=O,554569.6539
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,558440.8332
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)c3ccncc3)O2)c(=O)[nH]c1=O,584863.7268
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@H](C(=O)O)C(C)C)O2)c(=O)[nH]c1=O,651465.798
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)O2)c(=O)[nH]c1=O,657981.3133
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N3CCC[C@H]3C(=O)O)O2)c(=O)[nH]c1=O,745212.0128
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@H](C(=O)O)C(C)C)O2)c(=O)[nH]c1=O,761846.7164
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,7722007.722
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)O)O2)c(=O)[nH]c1=O,816726.5599
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(=O)N[C@@H](Cc3ccccc3)C(=O)O)O2)c(=O)[nH]c1=O,851498.6376
Cc1cn(C[C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O,957029.3808
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,320.51
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,500
O=C(O)/C(O)=C/C(=O)c1cc(C2CCCCC2)ccc1C1CCCCC1,943.4
O=C(O)/C(O)=C/C(=O)c1cc(C2CCCCC2)ccc1C1CCCCC1,980.39
O=C(O)/C(O)=C/C(=O)c1cc(C2CCCCC2)ccc1C1CCCCC1,1052.63
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,10000
C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,0.59
CCn1cc(-c2csc(N)n2)c(=O)c2cc(N3CCCC3)c(Cl)cc21,6802.72
CCn1cc(-c2csc(N)n2)c(=O)c2cc(N3CCCC3)c(Cl)cc21,7194.24
CCn1cc(-c2csc(N)n2)c(=O)c2cc(N3CCCC3)c(Cl)cc21,7299.27
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,4.18
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@H](C(=O)[O-])C(C)C)C(=O)C(O)=C3C(C)C)/C(=C/N[C@H](C(=O)[O-])C(C)C)C(=O)C(O)=C2C(C)C.[Na+].[Na+],4.73
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NC(C)(C)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NC(C)(C)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],5.23
Cc1cc2c(C(C)C)c(O)c(O)c(/C=N/[C@@H](Cc3ccccc3)C(=O)[O-])c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(/C=N/[C@@H](Cc3ccccc3)C(=O)[O-])c2c1O.[Na+].[Na+],7.79
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](C)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](C)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],9.62
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,149.25
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,320.51
COC(=O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,3278.69
O=C(O)CCCCCOc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,381.68
O=C(O)COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,3389.83
Oc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,6097.56
CCOC(=O)COc1ccc(/C=C/c2cc(O)cc(O)c2)cc1,8771.93
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,131578.95
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,333333.33
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,13927.58
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,14285.71
Cc1ccc(-c2cc(-c3nc4ccccc4[nH]3)nc(N)n2)cc1,14367.82
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,15455.95
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,15455.95
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16077.17
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16077.17
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16155.09
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,16339.87
Cc1ccc(-c2cc(-c3nc4ccccc4[nH]3)nc(N)n2)cc1,16556.29
OC(Cn1cncn1)(Cn1cncn1)c1ccc(Cl)cc1Cl,16583.75
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17064.85
OC(Cn1cncn1)(Cn1cncn1)c1ccc(Cl)cc1Cl,17361.11
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17699.12
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17793.59
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,17857.14
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,18018.02
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncc1[N+](=O)[O-])Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],18214.94
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,18416.21
OC(Cn1cncn1)(Cn1cncn1)c1ccc(Cl)cc1Cl,19569.47
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,20746.89
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,20833.33
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,22026.43
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,23866.35
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncn1)Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],24813.9
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,25706.94
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncc1[N+](=O)[O-])Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],26455.03
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncn1)Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],26737.97
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,27100.27
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,27472.53
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,27472.53
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(F)cc2)cc1,27932.96
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncn1)Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],28490.03
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,28653.3
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,29940.12
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,30959.75
COc1ccc2cc3[n+](cc2c1OCCN(CCn1cncc1[N+](=O)[O-])Cc1ccc(F)cc1F)CCc1cc2c(cc1-3)OCO2.[Cl-],32467.53
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,32894.74
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,33557.05
O=C(/C(=C/c1ccccc1)n1cncn1)c1ccc(F)cc1N1CCCCC1,33898.31
CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCc3cn(Cc4ccc(Cl)c(Cl)c4)nn3)n12,38022.81
CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCc3cn(Cc4ccc(Cl)c(Cl)c4)nn3)n12,38910.51
Cc1ccc(-c2cc(-c3nc4ccccc4[nH]3)nc(N)n2)cc1,9407.34
CCOc1ccc2c(c1)sc1nc(-c3ccccc3)c(COCc3cn(Cc4ccc(Cl)c(Cl)c4)nn3)n12,51546.39
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(Cl)cc2Cl)cc1,90090.09
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(Cl)cc2Cl)cc1,92592.59
CC(=O)Nc1ccc(S(=O)(=O)Cc2nc3ccccc3n2Cc2ccc(Cl)cc2Cl)cc1,94339.62
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCCCCCC(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NCCCCCC(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],31055.9
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](Cc1c[nH]c4ccccc14)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](Cc1c[nH]c3ccccc13)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],10.78
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](Cc1ccc(O)cc1)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],13.27
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](Cc1c[nH]cn1)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](Cc1c[nH]cn1)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],14.88
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](CO)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](CO)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],17.31
CC[C@H](C)[C@H](N/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/N[C@H](C(=O)[O-])[C@@H](C)CC)C(=O)C(O)=C4C(C)C)c(O)c21)C(=O)[O-].[Na+].[Na+],18.79
COC(=O)C(N/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/NC(C(=O)OC)c3ccccc3)C(=O)C(O)=C4C(C)C)c(O)c21)c1ccccc1,23.44
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCCCCCCCC(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NCCCCCCCC(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],34.93
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCCCCC(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NCCCCC(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],41.17
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NC(C(=O)[O-])c1ccc(O)cc1)C(=O)C(O)=C3C(C)C)/C(=C/NC(C(=O)[O-])c1ccc(O)cc1)C(=O)C(O)=C2C(C)C.[Na+].[Na+],46.27
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCCS(=O)(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NCCS(=O)(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],56.95
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@H](C(=O)[O-])c1ccccc1)C(=O)C(O)=C3C(C)C)/C(=C/N[C@H](C(=O)[O-])c1ccccc1)C(=O)C(O)=C2C(C)C.[Na+].[Na+],71.38
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](CC(C)C)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](CC(C)C)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],74.18
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NC(C(=O)[O-])c1ccc(Cl)cc1)C(=O)C(O)=C3C(C)C)/C(=C/NC(C(=O)[O-])c1ccc(Cl)cc1)C(=O)C(O)=C2C(C)C.[Na+].[Na+],77.7
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/NCC(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/NCC(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],80.26
COC(=O)[C@H](C)N/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/N[C@@H](C)C(=O)OC)C(=O)C(O)=C4C(C)C)c(O)c21,96.06
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,11918.95
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,13679.89
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,21786.49
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,7246.38
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,8802.82
Cc1nc2ccccc2c(C(=O)OC2CC(C)(C)N(O)C(C)(C)C2)c1O,11111.11
O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,13986.01
CC1(C)CC(OC(=O)c2cc3cc4c5c(c3oc2=O)CCCN5CCC4)CC(C)(C)N1O,20000
CC1(C)CC(OC(=O)c2cc3cc4c5c(c3oc2=O)CCCN5CCC4)CC(C)(C)N1O,20833.33
COc1ccc(Cn2cc(C(=O)N/N=C3/C(=O)Nc4c(C)cccc43)nn2)cc1,78740.16
Cc1cc2c(c(O)c1-c1c(C)cc3c(c1O)/C(=C/N[C@@H](CS)C(=O)[O-])C(=O)C(O)=C3C(C)C)/C(=C/N[C@@H](CS)C(=O)[O-])C(=O)C(O)=C2C(C)C.[Na+].[Na+],121.92
COC(=O)[C@H](CC(C)C)N/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/N[C@@H](CC(C)C)C(=O)OC)C(=O)C(O)=C4C(C)C)c(O)c21,140.37
COC(=O)[C@H](Cc1c[nH]c2ccccc12)N/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/N[C@@H](Cc3c[nH]c5ccccc35)C(=O)OC)C(=O)C(O)=C4C(C)C)c(O)c21,442.09
CCOC(=O)CN/C=C1\C(=O)C(O)=C(C(C)C)c2cc(C)c(-c3c(C)cc4c(c3O)/C(=C/NCC(=O)OCC)C(=O)C(O)=C4C(C)C)c(O)c21,5254.86
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,3333.33
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,3333.33
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,5555.56
COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,41666.67
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,161290.32
CC(=O)O[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,12500
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,12500
CC(=O)O[C@@H]1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,25000
CC(=O)O[C@H]1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1=O,50000
CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O.Cl,50000
CC(=O)O[C@H]1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,100000
CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,142857.14
COc1cc(NC(C)CCCN)c2ncccc2c1,142857.14
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,500000000
CCCCC/C=C\C[C@@H](O)/C=C/C=C/C=C\[C@@H](O)CCCC(=O)O,14.93
